name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Washington D.C. area,2024-07-01T00:00:00,27.7,27.4,12.9,40.24,0,0,,0,0,55.8,33.7,6,1014.8,99.2,16,0,0,0,10,Overcast,cloudy,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T01:00:00,26,26,11.6,40.71,0,0,,0,0,52.1,25.7,358,1015.1,85.1,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T02:00:00,24.3,24.3,12.1,46.66,0,0,,0,0,48.3,34.3,348,1015.6,85.2,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T03:00:00,21.7,21.7,11.6,52.84,0,0,,0,0,40.9,29.4,340,1016.1,85.1,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"C6294,KDCA,72405013743,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T04:00:00,20.5,20.5,10.5,52.64,0,0,,0,0,35.5,20.3,332,1016.6,82.7,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T05:00:00,19.4,19.4,10,54.68,0,0,,0,0,41.8,28.9,331,1016.7,33.3,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T06:00:00,18.4,18.4,10.6,60.54,0,0,,0,0,31.3,19.5,331,1017.8,26.6,16,3,0,0,10,Partially cloudy,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T07:00:00,19.3,19.3,10.7,57.51,0,0,,0,0,27.7,20.1,340,1018.5,24,16,70,0.3,1,10,Partially cloudy,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T08:00:00,19.9,19.9,11.1,56.67,0,0,,0,0,33.2,25.2,331,1018.8,24,13.4,223,0.8,2,10,Partially cloudy,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T09:00:00,21.5,21.5,11,51.47,0,0,,0,0,50.9,27.7,359,1019.7,84.1,16,282,1,3,10,Partially cloudy,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Washington D.C. area,2024-07-01T10:00:00,20,20,10.7,54.78,0,0,,0,0,46.1,31.9,16,1020.5,89.3,16,176,0.6,2,10,Partially cloudy,partly-cloudy-day,"C6294,KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
